Class,ADIAC_Database,AFD_Database,DIA_Database,DONA_Database,FCE_LTER_Database,LOIR_Database,Domain_Count
Achnanthes,187,19,104,57,13,46,6
Achnanthidium,0,10,0,167,1,1,4
Amphora,79,18,19,41,37,147,6
Aulacoseira,8,5,71,183,5,4,6
Biddulphia,0,0,0,0,7,4,2
Brachysira,44,0,5,77,15,2,5
Caloneis,56,20,14,24,4,52,6
Cavinula,7,10,0,82,0,0,3
Cocconeis,141,5,19,66,24,128,6
Craticula,4,31,6,108,3,5,6
Cyclotella,40,5,42,38,9,6,6
Cymbella,156,0,39,252,6,22,5
Cymbopleura,0,5,0,217,0,0,2
Diatoma,67,0,5,33,0,4,4
Diploneis,19,5,18,61,18,112,6
Encyonema,77,10,0,180,11,0,4
Encyonopsis,8,0,0,178,2,0,3
Epithemia,32,0,5,67,3,8,5
Eunotia,119,18,44,430,25,17,6
Fallacia,85,5,2,40,3,21,6
Fragilaria,40,31,69,75,17,16,6
Fragilariforma,20,0,0,62,1,0,3
Frustulia,20,19,5,135,2,7,6
Gomphonema,138,28,29,320,26,12,6
Gyrosigma,22,0,2,19,2,35,5
Luticola,33,200,0,39,0,3,4
Mastogloia,0,0,12,56,113,506,4
Melosira,21,20,1,31,2,7,6
Muelleria,0,96,0,43,0,0,2
Navicula,560,83,146,617,57,202,6
Neidium,11,5,2,43,3,4,6
Nitzschia,207,95,68,253,49,194,6
Nupela,0,5,4,145,0,0,3
Pinnularia,100,183,34,159,25,47,6
Planothidium,0,35,0,120,4,13,4
Pleurosigma,13,0,0,5,10,39,4
Psammothidium,0,80,0,164,0,0,2
Pseudostaurosira,9,0,0,71,0,0,2
Sellaphora,54,10,1,150,2,5,6
Stauroneis,44,52,8,306,1,20,6
Staurosira,9,35,0,33,2,2,5
Staurosirella,24,0,0,55,1,0,3
Stephanodiscus,27,0,52,76,1,0,4
Surirella,44,5,18,161,4,38,6
Synedra,13,0,6,29,1,20,5
Tabellaria,56,0,13,18,0,4,4
