domain,label,name,split
ADIAC_Database,Achnanthes,000825BA.png,val
ADIAC_Database,Achnanthes,000825CA.png,train
ADIAC_Database,Fallacia,000746BA.png,train
ADIAC_Database,Fallacia,000746AA.png,test
DIA_Database,Eunotia,implicata.png,test
DIA_Database,Eunotia,CA-1B.png,train
DIA_Database,Tabellaria,BO-1A.png,train
DIA_Database,Tabellaria,flocculosa.png,test
LOIR_Database,Synedra,Synedra%20ulna_1592390301016071.png,train
LOIR_Database,Nitzschia,Nitzschia%20V.png,val
LOIR_Database,Nitzschia,Nitzschia%20linkei%20292%20copie.png,test
LOIR_Database,Pleurosigma,Pleurosigma%20delicatulum_1592390792979274.png,test
LOIR_Database,Pleurosigma,Pleurosigma%20nicobaricum_159239167974743.png,train
LOIR_Database,Navicula,Navicula%2032.png,val
LOIR_Database,Navicula,Navicula%20sp..png,train
LOIR_Database,Navicula,Navicula%2035.png,val
LOIR_Database,Navicula,Navicula%20sp.%202.png,train
LOIR_Database,Mastogloia,Mastogloia%20acutiuscula.png,train
LOIR_Database,Mastogloia,Mastogloia%20smithii_1592391738166349.png,val
LOIR_Database,Mastogloia,Mastogloia%20sp.%20F%202.png,val
LOIR_Database,Mastogloia,Mastogloia%20sp.%20F%20b.png,train
LOIR_Database,Nitzschia,Nitzschia%20sp.png,train
LOIR_Database,Nitzschia,Nitzschia%2068a.png,val
LOIR_Database,Amphora,Amphora%20praelata_1592390746148134.png,train
LOIR_Database,Amphora,Amphora%20cymbaphora%2023.png,val
AFD_Database,Pinnularia,Pinnularia_acidicola_var.acidicola_2_LM.png,val
AFD_Database,Pinnularia,Pinnularia_acidicola_var.acidicola_1_LM.png,train
