Experiment,Model,Mode,Domain,Method,Seed,Batch,LR,CropRes,Device,Acc,F1,AUC,Time_Sec,Energy_kWh,Group,path,Factor,Value,Variant
CORAL_efficientnet_v2_s_LOIR_Database,efficientnet_v2_s,LOSO,LOIR_Database,coral,42,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.3562,0.1656,0.7571,1472.16,0.12268,dg_coral,dg/coral/CORAL_efficientnet_v2_s_LOIR_Database/final_metrics.csv,,,
CORAL_resnet50_DONA_Database,resnet50,LOSO,DONA_Database,coral,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.556,0.409,0.8546,871.43,0.07262,dg_coral,dg/coral/CORAL_resnet50_DONA_Database/final_metrics.csv,,,
CORAL_maxvit_t_AFD_Database,maxvit_t,LOSO,AFD_Database,coral,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5968,0.4305,,1101.24,0.09177,dg_coral,dg/coral/CORAL_maxvit_t_AFD_Database/final_metrics.csv,,,
CORAL_efficientnet_v2_s_DIA_Database,efficientnet_v2_s,LOSO,DIA_Database,coral,42,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5521,0.5237,,1650.75,0.13756,dg_coral,dg/coral/CORAL_efficientnet_v2_s_DIA_Database/final_metrics.csv,,,
CORAL_resnet50_FCE_LTER_Database,resnet50,LOSO,FCE_LTER_Database,coral,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5559,0.4266,0.9104,1106.23,0.09219,dg_coral,dg/coral/CORAL_resnet50_FCE_LTER_Database/final_metrics.csv,,,
CORAL_swin_v2_t_AFD_Database,swin_v2_t,LOSO,AFD_Database,coral,42,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.4935,0.31,,1297.2,0.1081,dg_coral,dg/coral/CORAL_swin_v2_t_AFD_Database/final_metrics.csv,,,
CORAL_swin_v2_t_DIA_Database,swin_v2_t,LOSO,DIA_Database,coral,42,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.4968,0.467,,1068.17,0.08901,dg_coral,dg/coral/CORAL_swin_v2_t_DIA_Database/final_metrics.csv,,,
CORAL_resnet50_ADIAC_Database,resnet50,LOSO,ADIAC_Database,coral,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6631,0.5576,0.9364,1231.67,0.10264,dg_coral,dg/coral/CORAL_resnet50_ADIAC_Database/final_metrics.csv,,,
CORAL_efficientnet_v2_s_AFD_Database,efficientnet_v2_s,LOSO,AFD_Database,coral,42,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6112,0.4405,,1542.99,0.12858,dg_coral,dg/coral/CORAL_efficientnet_v2_s_AFD_Database/final_metrics.csv,,,
CORAL_maxvit_t_DIA_Database,maxvit_t,LOSO,DIA_Database,coral,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.538,0.5062,,1398.52,0.11654,dg_coral,dg/coral/CORAL_maxvit_t_DIA_Database/final_metrics.csv,,,
