domain,bucket,genus,filepath
ADIAC_Database,all_fail,Eunotia,Processed_Data_PNG/ADIAC_Database/Eunotia/000381B.png
ADIAC_Database,all_fail,Eunotia,Processed_Data_PNG/ADIAC_Database/Eunotia/000382B.png
ADIAC_Database,all_fail,Eunotia,Processed_Data_PNG/ADIAC_Database/Eunotia/000381.png
ADIAC_Database,all_fail,Eunotia,Processed_Data_PNG/ADIAC_Database/Eunotia/000382.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/002000AA.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/000665BA.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/000665AA.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/001857AA.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/000277B.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/000309B.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/000130B.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/000125B.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/000273.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/000110B.png
ADIAC_Database,all_fail,Sellaphora,Processed_Data_PNG/ADIAC_Database/Sellaphora/000070B.png
ADIAC_Database,modern_wins,Eunotia,Processed_Data_PNG/ADIAC_Database/Eunotia/000384.png
ADIAC_Database,modern_wins,Eunotia,Processed_Data_PNG/ADIAC_Database/Eunotia/000384B.png
ADIAC_Database,modern_wins,Eunotia,Processed_Data_PNG/ADIAC_Database/Eunotia/000373.png
ADIAC_Database,modern_wins,Eunotia,Processed_Data_PNG/ADIAC_Database/Eunotia/002077AA.png
ADIAC_Database,modern_wins,Eunotia,Processed_Data_PNG/ADIAC_Database/Eunotia/002095AA.png
ADIAC_Database,modern_wins,Eunotia,Processed_Data_PNG/ADIAC_Database/Eunotia/000373B.png
ADIAC_Database,modern_wins,Surirella,Processed_Data_PNG/ADIAC_Database/Surirella/000892AA.png
ADIAC_Database,modern_wins,Surirella,Processed_Data_PNG/ADIAC_Database/Surirella/002203AA.png
ADIAC_Database,modern_wins,Surirella,Processed_Data_PNG/ADIAC_Database/Surirella/002184AA.png
ADIAC_Database,modern_wins,Surirella,Processed_Data_PNG/ADIAC_Database/Surirella/002186AA.png
ADIAC_Database,modern_wins,Surirella,Processed_Data_PNG/ADIAC_Database/Surirella/000263.png
ADIAC_Database,modern_wins,Surirella,Processed_Data_PNG/ADIAC_Database/Surirella/002198AA.png
ADIAC_Database,modern_wins,Surirella,Processed_Data_PNG/ADIAC_Database/Surirella/002189AA.png
ADIAC_Database,modern_wins,Surirella,Processed_Data_PNG/ADIAC_Database/Surirella/002187AA.png
ADIAC_Database,modern_wins,Surirella,Processed_Data_PNG/ADIAC_Database/Surirella/002197AA.png
AFD_Database,all_fail,Cyclotella,Processed_Data_PNG/AFD_Database/Cyclotella/Cyclotella_menenghiana_5_LM.png
AFD_Database,all_fail,Eunotia,Processed_Data_PNG/AFD_Database/Eunotia/Eunotia_paludosa_var.paludosa_5_LM.png
AFD_Database,all_fail,Sellaphora,Processed_Data_PNG/AFD_Database/Sellaphora/Sellaphora_tumida_5_LM.png
AFD_Database,all_fail,Sellaphora,Processed_Data_PNG/AFD_Database/Sellaphora/Sellaphora_tumida_3_LM.png
AFD_Database,all_fail,Sellaphora,Processed_Data_PNG/AFD_Database/Sellaphora/Sellaphora_tumida_1_LM.png
AFD_Database,all_fail,Sellaphora,Processed_Data_PNG/AFD_Database/Sellaphora/Sellaphora_subantarctica_4_LM.png
AFD_Database,all_fail,Sellaphora,Processed_Data_PNG/AFD_Database/Sellaphora/Sellaphora_tumida_2_LM.png
AFD_Database,all_fail,Sellaphora,Processed_Data_PNG/AFD_Database/Sellaphora/Sellaphora_subantarctica_5_LM.png
AFD_Database,all_fail,Sellaphora,Processed_Data_PNG/AFD_Database/Sellaphora/Sellaphora_subantarctica_1_LM.png
AFD_Database,all_fail,Sellaphora,Processed_Data_PNG/AFD_Database/Sellaphora/Sellaphora_subantarctica_3_LM.png
AFD_Database,all_fail,Sellaphora,Processed_Data_PNG/AFD_Database/Sellaphora/Sellaphora_tumida_4_LM.png
AFD_Database,all_fail,Pinnularia,Processed_Data_PNG/AFD_Database/Pinnularia/Pinnularia_cuneorostrata_3_LM.png
AFD_Database,all_fail,Pinnularia,Processed_Data_PNG/AFD_Database/Pinnularia/Pinnularia_obscura_1_LM.png
AFD_Database,all_fail,Pinnularia,Processed_Data_PNG/AFD_Database/Pinnularia/Pinnularia_cuneorostrata_1_LM.png
AFD_Database,all_fail,Pinnularia,Processed_Data_PNG/AFD_Database/Pinnularia/Pinnularia_divergentissima_var.minor_4_LM.png
AFD_Database,modern_wins,Cyclotella,Processed_Data_PNG/AFD_Database/Cyclotella/Cyclotella_menenghiana_4_LM.png
AFD_Database,modern_wins,Cyclotella,Processed_Data_PNG/AFD_Database/Cyclotella/Cyclotella_menenghiana_3_LM.png
AFD_Database,modern_wins,Eunotia,Processed_Data_PNG/AFD_Database/Eunotia/Eunotia_paludosa_var.paludosa_2_LM.png
AFD_Database,modern_wins,Eunotia,Processed_Data_PNG/AFD_Database/Eunotia/Eunotia_fallax_1_LM.png
AFD_Database,modern_wins,Pinnularia,Processed_Data_PNG/AFD_Database/Pinnularia/Pinnularia_schoenfelderi_3_LM.png
AFD_Database,modern_wins,Pinnularia,Processed_Data_PNG/AFD_Database/Pinnularia/Pinnularia_borealis_var.scalaris_4_LM.png
AFD_Database,modern_wins,Pinnularia,Processed_Data_PNG/AFD_Database/Pinnularia/Pinnularia_subantarctica_var.elongata_3_LM.png
