genus,precision,recall,f1,support
Achnanthes,0.4618,0.3545,0.4011,426
Amphora,0.7872,0.651,0.7127,341
Aulacoseira,0.6073,0.6051,0.6062,276
Brachysira,0.4331,0.3846,0.4074,143
Caloneis,0.6863,0.4118,0.5147,170
Cocconeis,0.8149,0.8851,0.8486,383
Craticula,0.348,0.5032,0.4115,157
Cyclotella,0.7515,0.9071,0.822,140
Cymbella,0.7189,0.5116,0.5978,475
Diploneis,0.7083,0.8755,0.7831,233
Epithemia,0.6071,0.7391,0.6667,115
Eunotia,0.817,0.6769,0.7404,653
Fallacia,0.7923,0.6603,0.7203,156
Fragilaria,0.3099,0.3911,0.3458,248
Frustulia,0.5758,0.4043,0.475,188
Gomphonema,0.5996,0.566,0.5823,553
Gyrosigma,0.2368,0.225,0.2308,80
Melosira,0.3211,0.4268,0.3665,82
Navicula,0.697,0.7946,0.7426,1665
Neidium,0.4921,0.4559,0.4733,68
Nitzschia,0.7758,0.7991,0.7873,866
Pinnularia,0.6416,0.8102,0.7161,548
Sellaphora,0.2197,0.1306,0.1638,222
Stauroneis,0.7483,0.7587,0.7535,431
Staurosira,0.15,0.1111,0.1277,81
Surirella,0.6703,0.6852,0.6777,270
Synedra,0.1067,0.1159,0.1111,69
