genus,precision,recall,f1,support
Achnanthes,0.4063,0.3615,0.3826,426
Amphora,0.7321,0.4487,0.5564,341
Aulacoseira,0.6766,0.5761,0.6223,276
Brachysira,0.72,0.5035,0.5926,143
Caloneis,0.7377,0.5294,0.6164,170
Cocconeis,0.722,0.8747,0.791,383
Craticula,0.4412,0.4777,0.4587,157
Cyclotella,0.5888,0.9,0.7119,140
Cymbella,0.8,0.4042,0.5371,475
Diploneis,0.7663,0.8584,0.8097,233
Epithemia,0.7444,0.5826,0.6537,115
Eunotia,0.7345,0.6907,0.7119,653
Fallacia,0.7414,0.5513,0.6324,156
Fragilaria,0.2257,0.3185,0.2642,248
Frustulia,0.5245,0.3989,0.4532,188
Gomphonema,0.6016,0.557,0.5784,553
Gyrosigma,0.4151,0.275,0.3308,80
Melosira,0.2298,0.4512,0.3045,82
Navicula,0.6451,0.7946,0.7121,1665
Neidium,0.6604,0.5147,0.5785,68
Nitzschia,0.7005,0.7806,0.7384,866
Pinnularia,0.7048,0.7536,0.7284,548
Sellaphora,0.2824,0.1081,0.1564,222
Stauroneis,0.7407,0.7425,0.7416,431
Staurosira,0.0853,0.1358,0.1048,81
Surirella,0.7004,0.5889,0.6398,270
Synedra,0.1538,0.1739,0.1633,69
