genus,precision,recall,f1,support
Achnanthes,0.2917,0.4108,0.3411,426
Amphora,0.7419,0.5396,0.6248,341
Aulacoseira,0.6693,0.6232,0.6454,276
Brachysira,0.7526,0.5105,0.6083,143
Caloneis,0.5706,0.5471,0.5586,170
Cocconeis,0.7995,0.8956,0.8448,383
Craticula,0.4424,0.465,0.4534,157
Cyclotella,0.7744,0.9071,0.8355,140
Cymbella,0.7509,0.4253,0.543,475
Diploneis,0.7133,0.8755,0.7861,233
Epithemia,0.6387,0.6609,0.6496,115
Eunotia,0.8182,0.6891,0.7481,653
Fallacia,0.7949,0.5962,0.6813,156
Fragilaria,0.2912,0.3992,0.3367,248
Frustulia,0.6948,0.5691,0.6257,188
Gomphonema,0.5732,0.5805,0.5768,553
Gyrosigma,0.5,0.25,0.3333,80
Melosira,0.3776,0.4512,0.4111,82
Navicula,0.673,0.7477,0.7084,1665
Neidium,0.5424,0.4706,0.5039,68
Nitzschia,0.7963,0.7402,0.7672,866
Pinnularia,0.5816,0.7737,0.6641,548
Sellaphora,0.3217,0.1667,0.2196,222
Stauroneis,0.8211,0.7239,0.7694,431
Staurosira,0.087,0.1235,0.102,81
Surirella,0.7377,0.6667,0.7004,270
Synedra,0.0814,0.1014,0.0903,69
