genus,precision,recall,f1,support
Achnanthes,0.305,0.2019,0.2429,426
Amphora,0.6782,0.4018,0.5046,341
Aulacoseira,0.6189,0.5471,0.5808,276
Brachysira,0.352,0.3077,0.3284,143
Caloneis,0.4118,0.4529,0.4314,170
Cocconeis,0.7199,0.53,0.6105,383
Craticula,0.349,0.3312,0.3399,157
Cyclotella,0.182,0.85,0.2997,140
Cymbella,0.4624,0.3621,0.4061,475
Diploneis,0.5126,0.4378,0.4722,233
Epithemia,0.616,0.6696,0.6417,115
Eunotia,0.7404,0.6508,0.6927,653
Fallacia,0.5649,0.5577,0.5613,156
Fragilaria,0.1181,0.25,0.1604,248
Frustulia,0.3654,0.3032,0.3314,188
Gomphonema,0.5415,0.472,0.5043,553
Gyrosigma,0.1571,0.1375,0.1467,80
Melosira,0.1788,0.3293,0.2318,82
Navicula,0.5958,0.6276,0.6113,1665
Neidium,0.25,0.1765,0.2069,68
Nitzschia,0.6403,0.5878,0.6129,866
Pinnularia,0.6029,0.6095,0.6062,548
Sellaphora,0.1351,0.045,0.0676,222
Stauroneis,0.6545,0.6241,0.639,431
Staurosira,0.0465,0.0988,0.0632,81
Surirella,0.4578,0.3815,0.4162,270
Synedra,0.137,0.1449,0.1408,69
