genus,precision,recall,f1,support
Achnanthes,0.3157,0.2934,0.3041,426
Amphora,0.5627,0.5396,0.5509,341
Aulacoseira,0.5268,0.5688,0.547,276
Brachysira,0.4381,0.3217,0.371,143
Caloneis,0.4855,0.4941,0.4898,170
Cocconeis,0.7568,0.8695,0.8092,383
Craticula,0.207,0.414,0.276,157
Cyclotella,0.7532,0.8286,0.7891,140
Cymbella,0.509,0.2379,0.3242,475
Diploneis,0.6751,0.8026,0.7333,233
Epithemia,0.541,0.5739,0.557,115
Eunotia,0.6762,0.5436,0.6027,653
Fallacia,0.7802,0.4551,0.5749,156
Fragilaria,0.2169,0.2903,0.2483,248
Frustulia,0.4126,0.3138,0.3565,188
Gomphonema,0.4614,0.5407,0.4979,553
Gyrosigma,0.4151,0.275,0.3308,80
Melosira,0.2656,0.4146,0.3238,82
Navicula,0.6809,0.6408,0.6603,1665
Neidium,0.4024,0.4853,0.44,68
Nitzschia,0.6794,0.6998,0.6894,866
Pinnularia,0.5523,0.7609,0.6401,548
Sellaphora,0.3263,0.1396,0.1956,222
Stauroneis,0.5833,0.6497,0.6147,431
Staurosira,0.1507,0.1358,0.1429,81
Surirella,0.6447,0.6519,0.6483,270
Synedra,0.1216,0.1304,0.1259,69
